,date,user,location,tweet
0,2020-10-22 14:41:43,CaloosaSales,"Fort Myers, Florida","Shoutout to one of our sponsors - Cablz! Trusted eyewear for the outdoorsmen that do more than just protect your eyes. Questions? Call Caloosa at 239-437-2339.
.
.
Visit our website at https://t.co/k286xEv3uw
.
.
#wholesale #tradeshow #sports #supply #hunting #lures #combos https://t.co/5v1iooapPO"
1,2020-10-22 14:38:20,GFTrib_KPuckett,Montana,Here we go again. #MTwx #dejavu #hunting  https://t.co/XXsrM80Whh
2,2020-10-22 14:37:54,NDANickP,"Indiana, PA","Wonderful testimonial about our #fieldtofork program and work to reach new hunters. A special shout out to director of hunting heritage, Hank Forester, for his dedication to the effort. Proud to be part of the ⁦@TheQDMA⁩ and ⁦@DeerAlliance #team⁩. #wildgame #hunting https://t.co/fdYCIDSwEG"
3,2020-10-22 14:36:02,Win_Win_Now,,"Please Retweet.

Win a $4,000 #Camping Prize Pack -- Includes a Tent + 4 North Face Sleeping Bags + a Coleman Stove + a Yeti Tundra Cooler + Much More! 

#win #contest #giveaway #sweepstakes #sorteo #hunting #fishing #hiking

https://t.co/s1ynk29zmu"
4,2020-10-22 14:27:27,Inle_rahbit,UK,"@nationaltrust @JudeAvalon You post this answer every time and have taken no action to prevent this from happening for weeks. This makes you legally complicit in illegal hunting.

The National Trust’s behaviour over this has been appalling.
#nationaltrust #hunting"
5,2020-10-22 14:25:31,bpoutdoors,USA,"Fighting Bucks - GA Woods!!!! #georgia #hunting #woods #deerhunting #hunting-season #huntingblind #camoflauge #wildlife #nature #conservation #foodplot #fall #antlers @ Perry, Georgia https://t.co/QUv4VOZC3X"
6,2020-10-22 14:24:41,CaloosaSales,"Fort Myers, Florida","Shoutout to one of our sponsors - @TheDexterEdge! Where At Dexter-Russell, knife-making is our DNA. Looking for quality knives? Call Caloosa at 239-437-2339.
.
.
Visit our website at https://t.co/k286xEv3uw

.
.
#wholesale #tradeshow #sports #supply #hunting #lures #combos https://t.co/pb0pE2jppV"
7,2020-10-22 14:23:38,zone_get,,🔥Top 9 Gear Picks for This Season's Mountain Hunts 🔥 https://t.co/8w8BZtKokL #hunting #mountainhunting #huntinggear #huntingseason #bestgear https://t.co/9Qb7jMBtrn
8,2020-10-22 14:20:57,GunUp,"Atlanta, GA",🔥💥 7 Amazing North American Hunts That Need to be On Your Bucket List https://t.co/BE9VR5tNyi #hunting #epichunts #huntinglifestyle #huntinglife https://t.co/a6jePA0hok
9,2020-10-22 14:20:54,MericasGuard,United States,Outside of work yesterday. #Nicerack #Montana #Freedom #hunting #yummy https://t.co/uApDslu9rx
10,2020-10-22 14:16:49,bpoutdoors,USA,"Big Boy Shows Up - Buck - GA Woods!!!! #georgia #hunting #woods #deerhunting #hunting-season #huntingblind #camoflauge #wildlife #nature #conservation #foodplot #fall #antlers @ Perry, Georgia https://t.co/HYlSFsj7yE"
11,2020-10-22 14:09:15,GunUp,"Atlanta, GA",🔥Top 9 Gear Picks for This Season's Mountain Hunts 🔥 https://t.co/gh2PcJ78wJ #hunting #mountainhunting #huntinggear #huntingseason #bestgear https://t.co/WKHrXji3qc
12,2020-10-22 14:04:09,KritTheSavage,"Nottingham, England","Big guy over here would make good pie!
If only I had my rifle!
.
.
#Hunting #stag #hunter #venison @ Nottingham, United Kingdom https://t.co/o7jPnawww1"
13,2020-10-22 14:03:53,XoticCamo,"College Station, TX","@kuhnguideservices ending the day with a smile on his face and a pile of birds! 
.
.
.
.
.
.
#hunting #dove #dovehunting #birds #birdhunting #doveseason #dogs #birddogs #shooting #shotgun #limit #xoticcamoandfishinggear https://t.co/5iyx5u4rMF"
14,2020-10-22 14:00:33,HSCFDN,Houston,"𝐃𝐞𝐛𝐮𝐧𝐤𝐢𝐧𝐠 𝐭𝐡𝐞 𝐌𝐲𝐭𝐡𝐬: Differences in ideologies on wildlife conservation mean that parties cannot work together

https://t.co/yKCidHe822

#HSCF #wehuntwegive #conservation #Hunting #news https://t.co/AT52jAwmZO"
15,2020-10-22 14:00:00,thanks4hunting,"Washington, D.C.","""An unexpected side effect of COVID-19 has been people discovering or rediscovering the outdoors and going hunting, fishing and shooting in droves.""

https://t.co/1FDixzVhGg

#hunting #fishing #r3 #mentorship #conservation"
16,2020-10-22 13:59:41,OntarioKnife,"Franklinville, New York","498 Combat Knife #BigKnifeThursday 
Who’s got one of these in their rotation?! 👌🏽🔪 🇺🇸#ontarioknifecompany #ontarioknife #ontarioknifeco #ontarioknives #OKC1889 #MadeinUSA #Fixedblade #knife #blade #hunting #camping #hiking #outdoors #tools #gear #tactical #military #survival https://t.co/OoaHsJ9BNH"
